Season,Name,Team,playerid
2002,Odalis Perez,Dodgers,668
2009,Ubaldo Jimenez,Rockies,3374
2013,Mike Minor,Braves,10021
2014,Nathan Eovaldi,Marlins,9132
2008,Ben Sheets,Brewers,710
2003,Mark Mulder,Athletics,932
2003,Tim Hudson,Athletics,921
2008,Chad Billingsley,Dodgers,5842
2014,Chris Archer,Rays,6345
2014,Ervin Santana,Braves,3200
2009,CC Sabathia,Yankees,404
2011,Tim Hudson,Braves,921
2007,Kelvim Escobar,Angels,1298
2013,Justin Masterson,Indians,2038
2016,Rick Porcello,Red Sox,2717
2004,Tim Hudson,Athletics,921
2012,Matt Cain,Giants,4732
2012,Josh Johnson,Marlins,4567
2008,Ryan Dempster,Cubs,517
2016,Jon Lester,Cubs,4930
2010,Jaime Garcia,Cardinals,8137
2013,Gio Gonzalez,Nationals,7448
2005,Mark Buehrle,White Sox,225
2011,James Shields,Rays,7059
2011,Michael Pineda,Mariners,5372
2013,Kris Medlen,Braves,9417
2013,Ubaldo Jimenez,Indians,3374
2002,Greg Maddux,Braves,104
2010,David Price,Rays,3184
2007,Chris Young,Padres,3196
2012,Jarrod Parker,Athletics,4913
2013,Patrick Corbin,Diamondbacks,9323
2015,J.A. Happ,- - -,7410
2006,Chris Carpenter,Cardinals,1292
2013,Derek Holland,Rangers,4141
2008,John Danks,White Sox,6329
2015,Lance Lynn,Cardinals,2520
2013,Hisashi Iwakuma,Mariners,13048
2006,John Smoltz,Braves,115
2015,Shelby Miller,Braves,10197
2004,Oliver Perez,Pirates,1514
2015,Sonny Gray,Athletics,12768
2007,Scott Kazmir,Devil Rays,4897
2008,A.J. Burnett,Blue Jays,512
2007,Tim Hudson,Braves,921
2005,John Patterson,Nationals,71
2016,Chris Sale,White Sox,10603
2006,Mike Mussina,Yankees,837
2014,Sonny Gray,Athletics,12768
2010,Gavin Floyd,White Sox,3886
2003,Carlos Zambrano,Cubs,305
2012,Lance Lynn,Cardinals,2520
2013,James Shields,Royals,7059
2013,Jhoulys Chacin,Rockies,2608
2014,Tanner Roark,Nationals,8753
2012,James Shields,Rays,7059
2015,Cole Hamels,- - -,4972
2016,Justin Verlander,Tigers,8700
2014,Julio Teheran,Braves,6797
2007,Joe Blanton,Athletics,4849
2012,Madison Bumgarner,Giants,5524
2010,Wandy Rodriguez,Astros,2586
2012,Kyle Lohse,Cardinals,739
2006,Jake Peavy,Padres,1051
2008,Johan Santana,Mets,755
2012,Jordan Zimmermann,Nationals,4505
2005,Brandon Webb,Diamondbacks,1692
2013,C.J. Wilson,Angels,3580
2016,Masahiro Tanaka,Yankees,15764
2011,Matt Harrison,Rangers,5551
2016,Jake Arrieta,Cubs,4153
2012,A.J. Burnett,Pirates,512
2015,Johnny Cueto,- - -,6893
2013,Eric Stults,Padres,8011
2012,Anibal Sanchez,- - -,3284
2011,Ricky Nolasco,Marlins,3830
2010,Johan Santana,Mets,755
2014,Matt Garza,Brewers,3340
2010,CC Sabathia,Yankees,404
2008,Edinson Volquez,Reds,3990
2009,Wandy Rodriguez,Astros,2586
2007,John Lackey,Angels,1507
2004,Carl Pavano,Marlins,790
2014,Tim Hudson,Giants,921
2004,Brad Radke,Twins,748
2010,Colby Lewis,Rangers,1259
2014,Brandon McCarthy,- - -,4662
2016,Aaron Sanchez,Blue Jays,11490
2011,Edwin Jackson,- - -,1841
2007,Roy Halladay,Blue Jays,1303
2012,Jeff Samardzija,Cubs,3254
2014,Zack Wheeler,Mets,10310
2010,Brett Myers,Astros,962
2002,Wade Miller,Astros,568
2016,Jose Quintana,White Sox,11423
2003,Miguel Batista,Diamondbacks,46
2008,Zack Greinke,Royals,1943
2010,C.J. Wilson,Rangers,3580
2013,Hiroki Kuroda,Yankees,3283
2015,John Lackey,Cardinals,1507
2014,Aaron Harang,Braves,1451
2015,Yordano Ventura,Royals,11855
2004,Carlos Zambrano,Cubs,305
2004,Doug Davis,Brewers,1244
2011,Javier Vazquez,Marlins,801
2014,Bartolo Colon,Mets,375
2011,Josh Beckett,Red Sox,510
2013,Rick Porcello,Tigers,2717
2014,Henderson Alvarez,Marlins,5669
2003,Mark Redman,Marlins,491
2007,Greg Maddux,Padres,104
2004,Pedro Martinez,Red Sox,200
2016,Kenta Maeda,Dodgers,18498
2015,Collin McHugh,Astros,7531
2013,Jon Lester,Red Sox,4930
2014,Francisco Liriano,Pirates,3201
2011,Yovani Gallardo,Brewers,8173
2008,Hiroki Kuroda,Dodgers,3283
2014,James Shields,Royals,7059
2006,Curt Schilling,Red Sox,73
2007,Roy Oswalt,Astros,571
2008,Jair Jurrjens,Braves,5556
2003,Kevin Millwood,Phillies,106
2006,Erik Bedard,Orioles,126
2008,Jake Peavy,Padres,1051
2006,Roy Halladay,Blue Jays,1303
2003,Roger Clemens,Yankees,815
2016,David Price,Red Sox,3184
2002,Tim Hudson,Athletics,921
2014,Hiroki Kuroda,Yankees,3283
2016,Jon Gray,Rockies,14916
2016,Carlos Martinez,Cardinals,11682
2008,Gil Meche,Royals,1089
2009,Carlos Zambrano,Cubs,305
2015,Jake Odorizzi,Rays,6397
2010,Clay Buchholz,Red Sox,3543
