Season,Name,Team,playerid
2010,Scott Downs,Blue Jays,773
1998,Mike Jackson,Indians,732
2000,Mike Stanton,Yankees,849
2001,Kazuhiro Sasaki,Mariners,1098
2013,Matt Belisle,Rockies,1837
2007,Lee Gardner,Marlins,1448
1997,John Franco,Mets,874
2000,Derek Lowe,Red Sox,199
2013,Mariano Rivera,Yankees,844
2013,Jonathan Papelbon,Phillies,5975
2002,J.C. Romero,Twins,754
2001,Jose Mesa,Phillies,961
2002,Jay Witasick,Giants,1138
2009,Jonathan Papelbon,Red Sox,5975
2015,Zach McAllister,Indians,2895
2003,Kyle Farnsworth,Cubs,278
2007,Justin Miller,Marlins,1313
2013,LaTroy Hawkins,Mets,729
2010,Kyle Farnsworth,- - -,278
2013,Charlie Furbush,Mariners,1370
2011,Matt Belisle,Rockies,1837
2016,Ryan Buchter,Padres,9456
2014,Jeurys Familia,Mets,5114
2016,Brad Hand,Padres,9111
2014,Dominic Leone,Mariners,13763
2004,Braden Looper,Mets,526
2013,Bryan Shaw,Indians,8110
2005,Bob Howry,Indians,237
2014,Burke Badenhop,Red Sox,9736
2014,Scott Atchison,Indians,2642
2012,Casey Janssen,Blue Jays,7355
2004,Kevin Gregg,Angels,1793
2014,Rafael Soriano,Nationals,1100
2014,Koji Uehara,Red Sox,9227
2015,Ryan Madson,Royals,1852
1999,Steve Karsay,Indians,829
2007,Billy Wagner,Mets,578
2001,Eddie Guardado,Twins,727
2005,Francisco Rodriguez,Angels,1642
2012,Ronald Belisario,Dodgers,2203
2002,Paul Shuey,- - -,406
1998,Dennis Cook,Mets,8
2009,Francisco Cordero,Reds,1243
2008,Jose Arredondo,Angels,4722
2014,Glen Perkins,Twins,8041
2014,Antonio Bastardo,Phillies,8844
2014,Adam Ottavino,Rockies,1247
2016,Brad Ziegler,- - -,7293
2002,Scott Williamson,Reds,361
2002,Cliff Politte,- - -,967
2005,Al Reyes,Cardinals,1005
2013,Mike Dunn,Marlins,9948
2012,Jason Motte,Cardinals,5861
2011,Chris Sale,White Sox,10603
1997,Ricardo Rincon,Pirates,401
2001,Mike Remlinger,Braves,111
2008,Mike Adams,Padres,1937
2014,Zach Britton,Orioles,3240
2006,Jonathan Broxton,Dodgers,4759
2011,Marc Rzepczynski,- - -,6612
2012,Joel Peralta,Rays,2332
1997,John Wetteland,Rangers,1013815
1997,Arthur Rhodes,Orioles,1097
1997,Antonio Osuna,Dodgers,249
2013,Matt Lindstrom,White Sox,4604
2014,Tommy Hunter,Orioles,1157
1999,Tim Crabtree,Rangers,1002715
2015,Joe Smith,Angels,3281
2015,Fernando Salas,Angels,4971
2013,Adam Ottavino,Rockies,1247
2005,Francisco Cordero,Rangers,1243
2004,Keith Foulke,Red Sox,231
2011,Fernando Salas,Cardinals,4971
2013,Casey Fien,Twins,3926
2000,Bob Wickman,- - -,413
2012,Cristhian Martinez,Braves,5337
2016,Hunter Strickland,Giants,7836
2001,Jay Witasick,- - -,1138
2015,Pedro Strop,Cubs,4070
2007,Matt Capps,Pirates,4788
2014,Joba Chamberlain,Tigers,2692
1998,Mike Timlin,Mariners,1187
2014,Randall Delgado,Diamondbacks,5985
2009,Brad Ziegler,Athletics,7293
2012,Glen Perkins,Twins,8041
2007,Joaquin Benoit,Rangers,1437
2011,Tyler Clippard,Nationals,5640
2013,Addison Reed,White Sox,10586
2013,Robbie Ross Jr.,Rangers,6819
2010,Tyler Clippard,Nationals,5640
2008,Frank Francisco,Rangers,1933
2004,Luis Ayala,Expos,1650
2012,Matt Thornton,White Sox,1918
2014,Craig Stammen,Nationals,7274
1997,Paul Quantrill,Blue Jays,669
2009,Burke Badenhop,Marlins,9736
2009,Joel Hanrahan,- - -,2186
2012,Brandon League,- - -,3731
2012,Alfredo Simon,Reds,2155
2016,Mike Montgomery,- - -,4869
2005,Jay Witasick,- - -,1138
2002,Luis Vizcaino,Brewers,714
2011,Edward Mujica,Marlins,3970
2005,Derrick Turnbow,Brewers,1694
2016,Roberto Osuna,Blue Jays,13764
2013,Tony Watson,Pirates,3132
2006,Bobby Jenks,White Sox,8645
2014,Justin Grimm,Cubs,11720
1997,Todd Jones,Tigers,436
2014,A.J. Ramos,Marlins,8350
2012,Brad Ziegler,Diamondbacks,7293
2009,George Sherrill,- - -,6291
2000,Keith Foulke,White Sox,231
2001,Ugueth Urbina,- - -,216
2002,Keith Foulke,White Sox,231
2008,Francisco Rodriguez,Angels,1642
2012,Steve Cishek,Marlins,6483
2010,Pedro Feliciano,Mets,1601
2015,Jeremy Jeffress,Brewers,9490
2011,Jim Johnson,Orioles,3656
2013,Junichi Tazawa,Red Sox,4079
2008,Rafael Perez,Indians,4078
2001,Jim Mecir,Athletics,930
2001,Esteban Yan,Devil Rays,1236
2012,Brandon Lyon,- - -,1312
2002,Tim Worrell,Giants,1139
2009,Ryan Madson,Phillies,1852
2002,Scott Eyre,- - -,1300
2009,Nick Masset,Reds,7267
2010,Matt Capps,- - -,4788
2003,Eddie Guardado,Twins,727
2011,Heath Bell,Padres,2080
2005,Mike MacDougal,Royals,612
2002,Joe Borowski,Cubs,267
2013,A.J. Ramos,Marlins,8350
1998,Vic Darensbourg,Marlins,516
2011,Henry Rodriguez,Nationals,6371
2008,Jason Grilli,- - -,521
2016,Michael Feliz,Astros,11903
2008,Damaso Marte,- - -,247
2001,Paul Quantrill,Blue Jays,669
2014,Luke Gregerson,Athletics,4090
2013,Brian Duensing,Twins,4064
2006,Dan Wheeler,Astros,120
1997,Jay Powell,Marlins,1271
2001,Jeff Nelson,Mariners,1092
2008,Joakim Soria,Royals,6941
2010,Phil Coke,Tigers,5535
2003,Chris Hammond,Yankees,92
2014,Will Smith,Brewers,8048
2011,Mark Melancon,Astros,4264
2015,Jeanmar Gomez,Phillies,9033
2012,Jim Johnson,Orioles,3656
2000,Felix Rodriguez,Giants,1127
1997,Mike Stanton,Yankees,849
1997,Armando Benitez,Orioles,865
2012,Ryan Webb,Marlins,7474
2005,Doug Brocail,Rangers,551
2006,Scot Shields,Angels,35
2003,Tim Worrell,Giants,1139
2004,Ray King,Cardinals,693
2013,Anthony Swarzak,Twins,7466
2008,LaTroy Hawkins,- - -,729
2013,Luis Avilan,Braves,2882
2005,Dan Wheeler,Astros,120
2011,Ernesto Frieri,Padres,5178
2000,Mariano Rivera,Yankees,844
2014,Dan Otero,Athletics,7385
1997,Chuck McElroy,- - -,1008477
2005,Michael Wuertz,Cubs,1856
2006,Aaron Heilman,Mets,1751
2009,Darren Oliver,Angels,206
2001,Cory Bailey,Royals,588
2012,Rex Brothers,Rockies,9794
1998,David Weathers,- - -,902
2003,Scot Shields,Angels,35
2005,Jeff Fassero,Giants,279
2000,Arthur Rhodes,Mariners,1097
2004,Armando Benitez,Marlins,865
2008,Chris Sampson,Astros,2651
2011,Rafael Perez,Indians,4078
2016,Hector Neris,Phillies,11804
1999,Derek Lowe,Red Sox,199
1998,Troy Percival,Angels,29
2013,Vin Mazzaro,Pirates,5231
2006,Adam Wainwright,Cardinals,2233
2016,Mychal Givens,Orioles,10430
2016,Cody Allen,Indians,12183
2016,Matt Bowman,Cardinals,13528
2009,Ryan Franklin,Cardinals,1076
2010,Jason Frasor,Blue Jays,1906
2000,Hipolito Pichardo,Red Sox,1472
2012,Tyler Clippard,Nationals,5640
2012,Rafael Soriano,Yankees,1100
2011,Drew Storen,Nationals,6983
2003,Octavio Dotel,Astros,555
2008,Manny Delcarmen,Red Sox,3180
1999,Jay Powell,Astros,1271
2014,Darren O'Day,Orioles,3321
2013,Aaron Loup,Blue Jays,10343
2013,Chad Qualls,Marlins,2170
1997,Rod Beck,Giants,1730
2003,Brad Lidge,Astros,563
2008,Ryan Madson,Phillies,1852
2003,David Riske,Indians,402
2007,Hideki Okajima,Red Sox,7763
2015,Tom Wilhelmsen,Mariners,9975
2008,Taylor Buchholz,Rockies,2168
2002,Ugueth Urbina,Red Sox,216
2012,Craig Breslow,- - -,4363
2016,Joe Blanton,Dodgers,4849
2010,Brandon Lyon,Astros,1312
2008,Heath Bell,Padres,2080
2000,Paul Shuey,Indians,406
2006,Joel Zumaya,Tigers,4699
2009,D.J. Carrasco,White Sox,1666
2004,Scott Linebrink,Padres,564
2015,Andrew Chafin,Diamondbacks,12988
1999,Matt Mantei,- - -,64
2007,Brian Tallet,Blue Jays,1646
2002,Ramiro Mendoza,Yankees,836
2000,Steve Karsay,Indians,829
2000,Jeff Tam,Athletics,940
2013,Rex Brothers,Rockies,9794
2012,Luke Gregerson,Padres,4090
1998,Dave Veres,Rockies,1188
2006,Pedro Feliciano,Mets,1601
2000,Billy Koch,Blue Jays,924
2011,Joel Peralta,Rays,2332
1997,Dennis Cook,Marlins,8
2001,Scott Sauerbeck,Pirates,1007
1999,Scott Williamson,Reds,361
2008,Saul Rivera,Nationals,2027
2006,Joaquin Benoit,Rangers,1437
2010,Daniel Bard,Red Sox,7115
2007,Jon Rauch,Nationals,1475
2016,Dan Jennings,White Sox,8073
2016,Tony Barnette,Rangers,3555
2010,Nick Masset,Reds,7267
2008,Jim Johnson,Orioles,3656
2014,Seth Maness,Cardinals,12235
2006,Jesse Crain,Twins,4817
