"Season","Name","Team","W","L","SV","G","GS","IP","K/9","BB/9","HR/9","BABIP","LOB%","GB%","HR/FB","ERA","FIP","xFIP","WAR","playerid"
"2015","Luis Garcia","Phillies","4","6","2","72","0","66.2","8.51","5.00","0.54",".340","78.3 %","63.0 %","13.3 %","3.51","3.69","3.57","0.4","6984"
"2004","Justin Speier","Blue Jays","3","8","7","62","0","69.0","6.78","3.26","1.04",".260","73.9 %","32.2 %","8.1 %","3.91","4.35","4.88","0.4","451"
"2010","Manny Corpas","Rockies","3","5","10","56","0","62.1","6.79","3.18","1.01",".301","71.1 %","42.5 %","9.1 %","4.62","4.19","4.23","0.4","2807"
"2002","Guillermo Mota","Dodgers","1","3","0","43","0","60.2","7.27","4.01","0.59",".236","64.3 %","37.7 %","5.6 %","4.15","3.64","4.40","0.4","1467"
"2002","Mike DeJean","Brewers","1","5","27","68","0","75.0","7.80","4.68","0.84",".277","81.3 %","50.7 %","12.1 %","3.12","4.08","3.94","0.4","682"
"2013","Burke Badenhop","Brewers","2","3","1","63","0","62.1","6.06","1.73","0.87",".289","64.0 %","51.1 %","11.8 %","3.47","3.53","3.40","0.4","9736"
"2004","Luis Vizcaino","Brewers","4","4","1","73","0","72.0","7.88","3.00","1.50",".247","73.7 %","35.3 %","12.1 %","3.75","4.51","4.29","0.4","714"
"2015","Blake Treinen","Nationals","2","5","0","60","0","67.2","8.65","4.26","0.53",".328","70.8 %","62.7 %","14.8 %","3.86","3.49","3.31","0.4","12572"
"2010","Mark Hendrickson","Orioles","1","5","0","51","0","70.1","6.78","2.56","1.02",".350","67.8 %","41.7 %","9.5 %","5.25","4.03","4.01","0.4","1574"
"2002","Mike Williams","Pirates","2","6","46","59","0","61.1","6.31","3.08","0.88",".257","76.9 %","45.9 %","10.0 %","2.93","3.91","3.99","0.4","1014"
"2007","Oscar Villarreal","Braves","2","2","1","51","0","76.1","6.84","3.77","0.71",".292","69.2 %","44.3 %","7.7 %","4.24","4.16","4.42","0.4","1654"
"2008","Ron Mahay","Royals","5","0","0","57","0","64.2","6.82","4.04","0.84",".285","77.5 %","40.3 %","7.5 %","3.48","4.21","4.64","0.4","290"
"2017","Wandy Peralta","Reds","3","4","0","69","0","64.2","7.93","3.34","1.11",".260","74.9 %","54.2 %","15.1 %","3.76","4.16","4.01","0.4","14295"
"2015","Huston Street","Angels","3","3","40","62","0","62.1","8.23","2.89","1.01",".263","80.4 %","34.5 %","8.9 %","3.18","3.73","4.14","0.4","8258"
"2008","Roy Corcoran","Mariners","6","2","3","50","0","72.2","4.83","4.46","0.12",".269","70.9 %","69.5 %","2.1 %","3.22","3.81","4.50","0.4","1780"
"2015","Jose Alvarez","Angels","4","3","0","64","0","67.0","7.93","3.09","0.67",".277","72.2 %","51.0 %","8.6 %","3.49","3.60","3.90","0.4","5358"
"2016","Blaine Boyer","Brewers","2","4","1","61","0","66.0","3.55","2.32","0.55",".325","73.6 %","48.9 %","5.9 %","3.95","3.96","4.89","0.4","2237"
"2009","Daniel Herrera","Reds","4","4","0","70","0","61.2","6.42","3.50","0.73",".310","72.0 %","50.0 %","9.1 %","3.06","3.99","4.11","0.4","4552"
"2004","John Parrish","Orioles","6","2","1","55","0","75.2","7.97","6.19","0.48",".283","73.2 %","51.9 %","6.7 %","3.45","4.15","4.59","0.4","160"
"2005","Danys Baez","Devil Rays","5","4","41","67","0","72.1","6.35","3.73","0.87",".271","80.5 %","46.1 %","9.6 %","2.86","4.20","4.33","0.4","367"
"2008","Lance Cormier","Orioles","3","3","1","44","0","68.2","5.90","4.46","0.52",".320","71.2 %","56.8 %","8.2 %","4.19","4.11","4.29","0.4","4346"
"2006","Dave Borkowski","Astros","3","2","0","40","0","71.0","6.59","2.92","1.01",".287","67.2 %","46.6 %","10.1 %","4.69","4.12","4.22","0.4","2002"
"2009","Jim Johnson","Orioles","4","6","10","64","0","70.0","6.30","2.96","1.03",".300","76.3 %","51.8 %","12.1 %","4.11","4.30","4.05","0.4","3656"
"2016","Ryan Madson","Athletics","6","7","30","63","0","64.2","6.82","2.78","0.97",".292","77.1 %","46.4 %","11.7 %","3.62","4.06","4.20","0.4","1852"
"2005","Shigetoshi Hasegawa","Mariners","1","3","0","46","0","66.2","4.05","2.16","0.54",".274","68.0 %","39.4 %","4.3 %","4.19","3.76","4.88","0.4","1082"
"2015","Franklin Morales","Royals","4","2","0","67","0","62.1","5.92","2.02","0.58",".277","73.9 %","49.5 %","7.3 %","3.18","3.52","3.99","0.4","5088"
"2011","Alfredo Aceves","Red Sox","9","1","2","51","0","93.0","6.48","2.81","0.77",".215","87.2 %","41.0 %","6.8 %","2.03","3.96","4.42","0.3","5164"
"2012","Burke Badenhop","Rays","3","2","0","66","0","62.1","6.06","1.73","0.87",".284","76.9 %","52.9 %","12.0 %","3.03","3.62","3.55","0.3","9736"
"2004","Kyle Farnsworth","Cubs","4","5","0","72","0","66.2","10.53","4.46","1.35",".326","71.6 %","39.7 %","14.5 %","4.73","4.23","3.75","0.3","278"
"2008","Joe Smith","Mets","6","3","0","82","0","63.1","7.39","4.41","0.57",".261","72.1 %","62.6 %","12.5 %","3.55","3.97","3.81","0.3","3281"
"2004","John Grabow","Pirates","2","5","1","68","0","61.2","9.34","4.09","1.17",".392","71.6 %","47.0 %","15.4 %","5.11","4.02","3.53","0.3","1848"
"2005","Luis Ayala","Nationals","8","7","1","68","0","71.0","5.07","1.77","0.89",".301","84.5 %","42.6 %","9.2 %","2.66","4.02","4.21","0.3","1650"
"2011","Chris Resop","Pirates","5","4","1","76","0","69.2","10.21","3.88","1.03",".344","76.0 %","36.7 %","10.7 %","4.39","3.67","3.53","0.3","3799"
"2007","Brandon Morrow","Mariners","3","4","0","60","0","63.1","9.38","7.11","0.43",".314","75.9 %","35.2 %","3.8 %","4.12","4.19","5.12","0.3","9346"
"2013","Ryan Webb","Marlins","2","6","0","66","0","80.1","6.05","3.02","0.56",".266","75.0 %","56.3 %","8.5 %","2.91","3.60","3.79","0.3","7474"
"2005","Matt Guerrier","Twins","0","3","0","43","0","71.2","5.78","3.01","0.75",".286","77.0 %","46.9 %","7.8 %","3.39","3.95","4.35","0.3","2061"
"2014","Todd Redmond","Blue Jays","1","4","1","42","0","75.0","7.20","3.24","0.60",".309","72.6 %","32.7 %","4.6 %","3.24","3.56","4.47","0.3","9943"
