"Season","Name","Team","W","L","SV","G","GS","IP","K/9","BB/9","HR/9","BABIP","LOB%","GB%","HR/FB","ERA","FIP","xFIP","WAR","playerid"
"2004","Kevin Gregg","Angels","5","2","1","55","0","87.2","8.62","2.87","0.62",".313","68.1 %","42.1 %","6.5 %","4.21","3.08","3.68","1.4","1793"
"2010","Luke Gregerson","Padres","4","7","2","80","0","78.1","10.23","2.07","0.92",".215","65.7 %","48.4 %","11.6 %","3.22","2.86","2.61","1.4","4090"
"2016","David Phelps","Marlins","5","5","4","59","0","62.1","11.84","4.04","0.58",".295","84.8 %","43.6 %","8.2 %","2.31","2.75","3.22","1.4","6316"
"2009","Juan Gutierrez","Diamondbacks","4","3","9","65","0","71.0","8.37","3.80","0.25",".316","68.9 %","40.4 %","2.5 %","4.06","3.00","4.11","1.4","3265"
"2004","Scott Linebrink","Padres","7","3","0","73","0","84.0","8.89","2.79","0.86",".257","86.3 %","32.1 %","8.5 %","2.14","3.35","3.70","1.4","564"
"2005","Neal Cotts","White Sox","4","0","0","69","0","60.1","8.65","4.33","0.15",".237","80.5 %","46.1 %","1.8 %","1.94","2.95","4.02","1.4","1797"
"2002","Billy Koch","Athletics","11","4","44","84","0","93.2","8.94","4.42","0.67",".266","75.1 %","47.3 %","8.2 %","3.27","3.55","3.83","1.3","924"
"2013","Fernando Rodney","Rays","5","4","37","68","0","66.2","11.07","4.86","0.41",".298","73.4 %","50.6 %","7.1 %","3.38","2.84","3.11","1.3","494"
"2008","Joakim Soria","Royals","2","3","42","63","0","67.1","8.82","2.54","0.67",".207","89.5 %","44.6 %","7.4 %","1.60","3.25","3.62","1.3","6941"
"2011","Jim Johnson","Orioles","6","5","9","69","0","91.0","5.74","2.08","0.49",".268","76.0 %","61.5 %","7.6 %","2.67","3.22","3.42","1.3","3656"
"2002","Ramiro Mendoza","Yankees","8","4","4","62","0","91.2","5.99","1.57","0.79",".306","70.8 %","53.1 %","10.5 %","3.44","3.36","3.37","1.3","836"
"2006","Trevor Hoffman","Padres","0","2","46","65","0","63.0","7.14","1.86","0.86",".236","85.8 %","32.2 %","7.2 %","2.14","3.46","4.08","1.3","1035"
"2015","Roberto Osuna","Blue Jays","1","6","20","68","0","69.2","9.69","2.07","0.90",".238","79.7 %","34.3 %","8.5 %","2.58","3.02","3.45","1.3","13764"
"2002","Keith Foulke","White Sox","2","4","11","65","0","77.2","6.72","1.51","0.81",".257","76.9 %","41.5 %","8.0 %","2.90","3.22","3.62","1.3","231"
"2010","Daniel Bard","Red Sox","1","2","3","73","0","74.2","9.16","3.62","0.72",".215","86.0 %","46.7 %","8.7 %","1.93","3.37","3.46","1.3","7115"
"2012","Wilton Lopez","Astros","6","3","10","64","0","66.1","7.33","1.09","0.54",".297","81.0 %","55.0 %","10.0 %","2.17","2.70","2.80","1.3","4227"
"2010","Juan Oviedo","Marlins","4","3","30","68","0","65.0","9.83","2.91","0.69",".329","73.7 %","54.0 %","9.4 %","3.46","2.86","2.86","1.3","2886"
"2003","Chris Hammond","Yankees","3","2","1","62","0","63.0","6.43","1.57","0.71",".302","77.5 %","32.8 %","6.0 %","2.86","3.25","4.14","1.3","92"
"2011","Daniel Bard","Red Sox","2","9","1","70","0","73.0","9.12","2.96","0.62",".224","66.2 %","52.7 %","8.8 %","3.33","2.96","3.05","1.3","7115"
"2002","Ugueth Urbina","Red Sox","1","6","40","61","0","60.0","10.65","3.00","1.20",".252","81.4 %","26.8 %","10.3 %","3.00","3.33","3.40","1.3","216"
"2007","Rafael Perez","Indians","1","2","1","44","0","60.2","9.20","2.23","0.74",".234","83.7 %","52.6 %","10.6 %","1.78","3.01","2.91","1.3","4078"
"2008","J.P. Howell","Rays","6","1","3","64","0","89.1","9.27","3.93","0.60",".245","78.7 %","53.7 %","9.0 %","2.22","3.39","3.50","1.3","8245"
"2014","Jake Diekman","Phillies","5","5","0","73","0","71.0","12.68","4.44","0.51",".363","69.1 %","43.3 %","7.7 %","3.80","2.65","2.83","1.3","5003"
"2016","Liam Hendriks","Athletics","0","4","0","53","0","64.2","9.88","1.95","0.84",".344","70.1 %","40.1 %","8.3 %","3.76","2.85","3.50","1.3","3548"
"2010","Clay Hensley","Marlins","3","4","7","68","0","75.0","9.24","3.48","0.36",".263","80.9 %","53.4 %","4.9 %","2.16","2.87","3.34","1.3","4593"
"2008","Ryan Madson","Phillies","4","2","1","76","0","82.2","7.29","2.50","0.65",".300","78.2 %","51.0 %","8.2 %","3.05","3.33","3.55","1.3","1852"
"2012","Rafael Soriano","Yankees","2","1","42","69","0","67.2","9.18","3.19","0.80",".274","88.0 %","35.9 %","8.2 %","2.26","3.32","3.75","1.3","1100"
"2004","Julian Tavarez","Cardinals","7","4","4","77","0","64.1","6.72","2.66","0.14",".289","75.7 %","50.8 %","2.0 %","2.38","2.92","3.85","1.3","541"
"2011","David Hernandez","Diamondbacks","5","3","11","74","0","69.1","10.00","3.89","0.52",".253","71.6 %","31.5 %","4.9 %","3.37","2.94","3.66","1.3","4259"
"2004","Salomon Torres","Pirates","7","7","0","84","0","92.0","6.07","2.15","0.59",".285","76.9 %","58.6 %","8.8 %","2.64","3.46","3.66","1.3","1628"
"2007","David Weathers","Reds","2","6","33","70","0","77.2","5.56","3.13","0.46",".258","70.7 %","35.5 %","3.8 %","3.59","3.91","4.94","1.3","902"
"2009","D.J. Carrasco","White Sox","5","1","0","48","0","89.1","6.04","2.82","0.40",".310","73.5 %","47.1 %","4.1 %","3.43","3.34","4.20","1.3","1666"
"2016","Hector Neris","Phillies","4","4","2","79","0","80.1","11.43","3.36","1.01",".272","83.1 %","41.9 %","14.1 %","2.58","3.30","3.17","1.2","11804"
"2012","Jim Johnson","Orioles","2","1","51","71","0","68.2","5.37","1.97","0.39",".251","75.6 %","62.3 %","6.8 %","2.49","3.25","3.63","1.2","3656"
"2008","Taylor Buchholz","Rockies","6","6","1","63","0","66.1","7.60","2.44","0.68",".220","72.4 %","36.5 %","6.5 %","2.17","3.33","3.88","1.2","2168"
"2010","Sean Burnett","Nationals","1","7","3","73","0","63.0","8.86","2.86","0.43",".280","81.4 %","54.3 %","7.1 %","2.14","2.73","2.92","1.2","1886"
"2013","Matt Belisle","Rockies","5","7","0","72","0","73.0","7.64","1.85","0.74",".321","65.4 %","48.6 %","10.9 %","4.32","3.03","2.99","1.2","1837"
"2010","Joba Chamberlain","Yankees","3","4","3","73","0","71.2","9.67","2.76","0.75",".327","66.6 %","45.6 %","7.9 %","4.40","2.98","3.19","1.2","2692"
"2002","Eddie Guardado","Twins","1","3","45","68","0","67.2","9.31","2.39","1.20",".256","84.2 %","32.4 %","10.2 %","2.93","3.46","3.54","1.2","727"
"2007","Saul Rivera","Nationals","4","6","3","85","0","93.0","6.19","4.06","0.10",".301","71.2 %","49.6 %","1.1 %","3.68","3.42","4.48","1.2","2027"
"2011","Brandon League","Mariners","1","5","37","65","0","61.1","6.60","1.47","0.44",".279","67.4 %","57.1 %","6.5 %","2.79","2.78","3.09","1.2","3731"
"2012","Matt Thornton","White Sox","4","10","3","74","0","65.0","7.34","2.35","0.55",".312","72.4 %","54.3 %","8.3 %","3.46","3.19","3.47","1.2","1918"
"2017","Alex Colome","Rays","2","3","47","65","0","66.2","7.83","3.11","0.54",".275","72.4 %","48.7 %","6.2 %","3.24","3.37","4.32","1.2","6661"
"2006","Joaquin Benoit","Rangers","1","1","0","56","0","79.2","9.60","4.29","0.56",".292","58.8 %","37.3 %","5.2 %","4.86","3.37","4.27","1.2","1437"
"2010","Joel Hanrahan","Pirates","4","1","6","72","0","69.2","12.92","3.36","0.78",".329","75.4 %","42.0 %","9.2 %","3.62","2.62","2.64","1.2","2186"
"2014","Kelvin Herrera","Royals","4","3","0","70","0","70.0","7.59","3.34","0.00",".274","85.5 %","49.2 %","0.0 %","1.41","2.69","3.50","1.2","6033"
"2009","Ryan Madson","Phillies","5","5","10","79","0","77.1","9.08","2.56","0.81",".314","78.2 %","46.0 %","10.3 %","3.26","3.23","3.20","1.2","1852"
"2008","Saul Rivera","Nationals","5","6","0","76","0","84.0","6.96","3.75","0.32",".327","70.0 %","54.0 %","4.5 %","3.96","3.37","3.94","1.2","2027"
"2003","Joe Nathan","Giants","12","4","0","78","0","79.0","9.46","3.76","0.80",".232","79.0 %","30.7 %","6.9 %","2.96","3.45","4.18","1.2","1122"
"2008","Bobby Jenks","White Sox","3","1","30","57","0","61.2","5.55","2.48","0.44",".261","78.7 %","57.6 %","5.8 %","2.63","3.41","3.89","1.2","8645"
"2005","Al Reyes","Cardinals","4","2","3","65","0","62.2","9.62","2.87","0.72",".224","85.7 %","34.5 %","6.8 %","2.15","3.12","3.69","1.2","1005"
"2008","Rafael Perez","Indians","4","4","2","73","0","76.1","10.14","2.71","0.94",".304","74.3 %","57.1 %","16.7 %","3.54","3.22","2.69","1.2","4078"
"2010","Sergio Romo","Giants","5","3","0","68","0","62.0","10.16","2.03","0.87",".261","86.3 %","35.0 %","7.5 %","2.18","2.95","3.27","1.2","9817"
"2007","Jeremy Accardo","Blue Jays","4","4","30","64","0","67.1","7.62","3.21","0.53",".250","81.2 %","49.2 %","6.9 %","2.14","3.48","3.79","1.2","6428"
"2014","Cody Allen","Indians","6","4","24","76","0","69.2","11.76","3.36","0.90",".266","82.8 %","36.3 %","9.2 %","2.07","2.99","3.03","1.2","12183"
"2006","Adam Wainwright","Cardinals","2","1","3","61","0","75.0","8.64","2.64","0.72",".283","78.4 %","47.5 %","8.3 %","3.12","3.31","3.62","1.2","2233"
"2005","Derrick Turnbow","Brewers","7","1","39","69","0","67.1","8.55","3.21","0.67",".249","88.1 %","50.0 %","9.8 %","1.74","3.20","3.28","1.2","1694"
"2017","Luis Garcia","Phillies","2","5","2","66","0","71.1","7.57","3.28","0.38",".282","78.5 %","56.3 %","5.7 %","2.65","3.12","3.89","1.2","6984"
"2003","Braden Looper","Marlins","6","4","28","74","0","80.2","6.25","3.24","0.45",".304","73.3 %","52.9 %","7.4 %","3.68","3.40","3.74","1.2","526"
"2006","Geoff Geary","Phillies","7","1","1","81","0","91.1","5.91","1.97","0.59",".326","78.8 %","50.0 %","6.5 %","2.96","3.54","4.10","1.2","1813"
"2015","Luke Gregerson","Astros","7","3","31","64","0","61.0","8.70","1.48","0.74",".264","67.9 %","60.4 %","13.2 %","3.10","2.86","2.71","1.2","4090"
"2016","Joe Biagini","Blue Jays","4","3","1","60","0","67.2","8.25","2.53","0.40",".320","73.2 %","52.2 %","5.6 %","3.06","2.95","3.71","1.2","13194"
"2016","Mychal Givens","Orioles","8","2","0","66","0","74.2","11.57","4.34","0.72",".314","78.8 %","35.3 %","8.8 %","3.13","3.31","3.78","1.2","10430"
"2010","Wilton Lopez","Astros","5","2","1","68","0","67.0","6.72","0.67","0.54",".305","73.4 %","55.7 %","7.0 %","2.96","2.59","2.85","1.2","4227"
"2007","Manny Corpas","Rockies","4","2","19","78","0","78.0","6.69","2.31","0.69",".259","84.9 %","57.4 %","9.5 %","2.08","3.60","3.61","1.2","2807"
"2013","Luke Gregerson","Padres","6","8","4","73","0","66.1","8.68","2.44","0.41",".257","70.4 %","45.5 %","4.9 %","2.71","2.70","3.37","1.2","4090"
"2002","Mike Stanton","Yankees","7","1","6","79","0","78.0","5.08","3.23","0.46",".278","75.5 %","41.0 %","4.0 %","3.00","3.58","4.67","1.2","849"
"2011","Chris Sale","White Sox","2","2","8","58","0","71.0","10.01","3.42","0.76",".264","81.3 %","49.7 %","10.9 %","2.79","3.12","3.00","1.2","10603"
"2011","Kameron Loe","Brewers","4","7","1","72","0","72.0","7.63","2.00","0.50",".293","68.5 %","63.3 %","10.0 %","3.50","2.80","2.78","1.2","4422"
"2003","Kyle Farnsworth","Cubs","3","2","0","77","0","76.1","10.85","4.24","0.71",".264","72.0 %","49.7 %","10.3 %","3.30","3.06","3.14","1.2","278"
"2006","Scott Proctor","Yankees","6","4","1","83","0","102.1","7.83","2.90","1.06",".266","77.4 %","33.0 %","8.2 %","3.52","3.96","4.44","1.2","1911"
"2012","Tyler Clippard","Nationals","2","6","32","74","0","72.2","10.40","3.59","0.87",".259","70.9 %","29.7 %","6.8 %","3.72","3.31","4.14","1.2","5640"
"2005","Mike MacDougal","Royals","5","6","21","68","0","70.1","9.21","3.07","0.77",".326","73.1 %","56.9 %","11.1 %","3.33","3.23","3.18","1.2","612"
"2008","Heath Bell","Padres","6","6","0","74","0","78.0","8.19","3.23","0.58",".281","73.3 %","45.5 %","6.7 %","3.58","3.34","3.77","1.2","2080"
"2015","A.J. Ramos","Marlins","2","4","32","71","0","70.1","11.13","3.33","0.77",".252","85.4 %","43.4 %","9.4 %","2.30","3.01","3.24","1.2","8350"
"2003","Oscar Villarreal","Diamondbacks","10","7","0","85","0","95.0","7.39","4.07","0.57",".254","73.9 %","47.2 %","6.1 %","2.46","3.66","4.36","1.2","1654"
"2012","Vinnie Pestano","Indians","3","3","2","70","0","70.0","9.77","3.09","0.90",".263","85.7 %","40.9 %","9.1 %","2.57","3.42","3.74","1.2","4782"
"2014","Fernando Rodney","Mariners","1","6","48","69","0","66.1","10.31","3.80","0.41",".330","77.5 %","48.6 %","6.3 %","2.85","2.83","3.14","1.2","494"
"2007","Justin Miller","Marlins","5","0","0","62","0","61.2","10.80","3.50","0.73",".308","71.4 %","42.6 %","7.5 %","3.65","3.06","3.37","1.2","1313"
"2017","Juan Nicasio","Pirates","2","5","2","65","0","60.0","9.00","2.70","0.60",".283","77.3 %","45.9 %","7.8 %","2.85","3.02","3.67","1.2","7731"
"2003","Brian Shouse","Rangers","0","1","1","62","0","61.0","5.90","2.07","0.15",".314","71.3 %","57.4 %","3.1 %","3.10","2.82","3.37","1.2","630"
"2008","Chad Durbin","Phillies","5","4","1","71","0","87.2","6.47","3.59","0.51",".295","77.0 %","45.6 %","5.9 %","2.87","3.77","4.31","1.2","1442"
"2017","Mychal Givens","Orioles","8","1","0","69","0","78.2","10.07","2.86","1.14",".251","86.3 %","42.6 %","12.7 %","2.75","3.72","3.85","1.2","10430"
"2013","Sergio Romo","Giants","5","8","38","65","0","60.1","8.65","1.79","0.75",".276","78.0 %","40.7 %","7.9 %","2.54","2.85","3.20","1.2","9817"
"2014","Trevor Rosenthal","Cardinals","2","6","45","72","0","70.1","11.13","5.37","0.26",".318","77.8 %","38.0 %","3.2 %","3.20","2.99","3.73","1.2","10745"
"2010","Brandon Lyon","Astros","6","6","20","79","0","78.0","6.23","3.58","0.23",".272","74.6 %","39.9 %","2.1 %","3.12","3.34","4.47","1.1","1312"
"2009","Darren Oliver","Angels","5","1","0","62","0","69.0","8.48","2.74","0.65",".283","81.3 %","44.4 %","6.9 %","2.74","3.29","3.71","1.1","206"
"2005","Cliff Politte","White Sox","7","1","1","68","0","67.1","7.62","2.81","0.94",".201","90.8 %","32.2 %","7.4 %","2.00","3.75","4.34","1.1","967"
"2006","Rafael Soriano","Mariners","1","2","2","53","0","60.0","9.75","3.15","0.90",".259","88.7 %","27.2 %","7.3 %","2.25","3.43","4.05","1.1","1100"
"2005","Michael Wuertz","Cubs","6","2","0","75","0","75.2","10.59","4.76","0.71",".293","69.9 %","42.9 %","8.1 %","3.81","3.28","3.60","1.1","1856"
"2002","Jose Jimenez","Rockies","2","10","41","74","0","73.1","5.77","1.35","0.86",".289","69.8 %","63.2 %","13.0 %","3.56","3.49","3.27","1.1","435"
"2014","Koji Uehara","Red Sox","6","5","26","64","0","64.1","11.19","1.12","1.40",".273","91.3 %","32.3 %","14.3 %","2.52","3.09","2.41","1.1","9227"
"2005","Dan Wheeler","Astros","2","3","3","71","0","73.1","8.47","2.33","0.86",".242","87.4 %","37.2 %","8.4 %","2.21","3.28","3.60","1.1","120"
"2007","Hideki Okajima","Red Sox","3","2","5","66","0","69.0","8.22","2.22","0.78",".238","85.6 %","44.6 %","8.0 %","2.22","3.33","3.56","1.1","7763"
"2015","Blaine Hardy","Tigers","5","3","0","70","0","61.1","8.07","3.23","0.29",".319","75.1 %","39.0 %","3.0 %","3.08","2.89","4.08","1.1","6499"
"2004","Tim Worrell","Phillies","5","6","19","77","0","78.1","7.35","2.41","1.15",".283","73.8 %","43.8 %","11.6 %","3.68","3.96","3.86","1.1","1139"
"2004","Dan Miceli","Astros","6","6","2","74","0","77.2","9.62","3.13","1.16",".299","77.5 %","44.0 %","11.6 %","3.59","3.71","3.61","1.1","1463"
"2017","Brad Brach","Orioles","4","5","18","67","0","68.0","9.26","3.44","0.93",".256","74.4 %","42.4 %","10.1 %","3.18","3.58","4.05","1.1","6627"
"2016","Ryan Buchter","Padres","3","0","1","67","0","63.0","11.14","4.43","0.57",".227","76.6 %","20.6 %","5.1 %","2.86","3.07","4.33","1.1","9456"
"2011","Joaquin Benoit","Tigers","4","3","2","66","0","61.0","9.30","2.51","0.74",".273","74.6 %","38.9 %","7.4 %","2.95","2.96","3.29","1.1","1437"
"2017","Scott Alexander","Royals","5","4","4","58","0","69.0","7.70","3.65","0.39",".306","78.1 %","73.8 %","14.3 %","2.48","3.23","3.21","1.1","10591"
"2006","Braden Looper","Cardinals","9","3","0","69","0","73.1","5.03","2.45","0.37",".302","72.5 %","49.4 %","4.2 %","3.56","3.46","4.29","1.1","526"
"2008","Huston Street","Athletics","7","5","18","63","0","70.0","8.87","3.47","0.77",".283","73.5 %","36.2 %","7.8 %","3.73","3.47","3.81","1.1","8258"
"2012","Casey Janssen","Blue Jays","1","1","22","62","0","63.2","9.47","1.55","0.99",".240","83.0 %","42.5 %","12.1 %","2.54","3.08","2.99","1.1","7355"
"2011","Matt Belisle","Rockies","10","4","0","74","0","72.0","7.25","1.75","0.63",".327","70.5 %","53.2 %","8.1 %","3.25","3.07","3.25","1.1","1837"
"2008","Jose Arredondo","Angels","10","2","0","52","0","61.0","8.11","3.25","0.44",".239","82.2 %","51.2 %","5.8 %","1.62","3.10","3.58","1.1","4722"
"2002","Scott Sauerbeck","Pirates","5","4","0","78","0","62.2","10.05","3.88","0.57",".301","82.9 %","54.2 %","10.8 %","2.30","2.90","2.89","1.1","1007"
"2005","Doug Brocail","Rangers","5","3","1","61","0","73.1","7.49","4.17","0.25",".362","63.9 %","49.6 %","3.1 %","5.52","3.27","4.13","1.1","551"
"2017","Chris Rusin","Rockies","5","1","2","60","0","85.0","7.52","2.01","0.95",".277","78.2 %","58.5 %","15.3 %","2.65","3.64","3.50","1.1","9895"
"2013","Adam Ottavino","Rockies","1","3","0","51","0","78.1","8.96","3.56","0.57",".311","79.8 %","45.6 %","7.1 %","2.64","3.15","3.54","1.1","1247"
"2012","Wade Davis","Rays","3","0","0","54","0","70.1","11.13","3.71","0.64",".264","81.4 %","38.6 %","7.6 %","2.43","2.78","3.24","1.1","7441"
"2007","Alan Embree","Athletics","1","2","17","68","0","68.0","6.75","2.51","0.66",".297","70.9 %","34.1 %","5.2 %","3.97","3.53","4.35","1.1","1030"
"2002","Steve Karsay","Yankees","6","4","12","78","0","88.1","6.62","3.06","0.71",".291","78.8 %","54.0 %","10.4 %","3.26","3.61","3.63","1.1","829"
"2008","Scott Downs","Blue Jays","0","3","5","66","0","70.2","7.26","3.44","0.38",".256","86.6 %","65.6 %","7.0 %","1.78","3.39","3.64","1.1","773"
"2017","Brett Cecil","Cardinals","2","4","1","73","0","67.1","8.82","2.14","0.94",".319","71.0 %","42.7 %","10.6 %","3.88","3.26","3.65","1.1","2660"
"2008","Jose Valverde","Astros","6","3","44","74","0","72.0","10.38","2.88","1.25",".281","80.8 %","39.2 %","12.5 %","3.38","3.67","3.33","1.1","1726"
"2003","Brian Fuentes","Rockies","3","3","4","75","0","75.1","9.80","4.06","0.84",".298","84.9 %","34.5 %","8.6 %","2.75","3.66","4.02","1.1","429"
"2002","Brian Boehringer","Pirates","4","4","1","70","0","79.2","7.34","3.73","0.56",".269","75.3 %","31.1 %","5.1 %","3.39","3.46","4.35","1.1","984"
"2010","Scott Downs","Blue Jays","5","5","0","67","0","61.1","7.04","2.05","0.44",".256","75.7 %","57.8 %","6.0 %","2.64","3.03","3.39","1.1","773"
"2006","Ramon Ramirez","Rockies","4","3","0","61","0","67.2","8.11","3.59","0.67",".277","73.4 %","40.7 %","5.7 %","3.46","3.55","4.41","1.1","7986"
"2016","Ryan Dull","Athletics","5","5","3","70","0","74.1","8.84","1.82","1.21",".209","82.7 %","33.2 %","9.8 %","2.42","3.58","4.11","1.1","13974"
"2014","Adam Ottavino","Rockies","1","4","1","75","0","65.0","9.69","2.22","0.83",".347","77.6 %","46.7 %","9.8 %","3.60","3.10","3.06","1.1","1247"
"2013","Craig Stammen","Nationals","7","6","0","55","0","81.2","8.71","2.98","0.44",".326","75.9 %","59.7 %","7.4 %","2.76","2.82","3.08","1.1","7274"
"2013","Luke Hochevar","Royals","5","2","2","58","0","70.1","10.49","2.18","1.02",".214","92.1 %","35.0 %","11.0 %","1.92","2.96","2.90","1.1","6943"
"2007","Chad Bradford","Orioles","4","7","2","78","0","64.2","4.04","2.23","0.14",".321","72.8 %","62.2 %","1.9 %","3.34","3.56","4.39","1.1","904"
"2006","Salomon Torres","Pirates","3","6","12","94","0","93.1","6.94","3.66","0.58",".318","74.9 %","55.2 %","8.0 %","3.28","3.85","4.15","1.1","1628"
"2006","Brad Lidge","Astros","1","5","32","78","0","75.0","12.48","4.32","1.20",".321","66.0 %","43.9 %","16.1 %","5.28","3.79","3.22","1.1","563"
"2009","Michael Gonzalez","Braves","5","4","10","80","0","74.1","10.90","4.00","0.85",".275","78.9 %","38.3 %","9.1 %","2.42","3.51","3.65","1.1","1794"
"2006","Kyle Farnsworth","Yankees","3","6","6","72","0","66.0","10.23","3.82","1.09",".305","71.4 %","34.3 %","10.1 %","4.36","3.77","3.88","1.1","278"
"2007","Kevin Gregg","Marlins","0","5","32","74","0","84.0","9.32","4.29","0.75",".260","75.6 %","29.0 %","5.9 %","3.54","3.89","4.59","1.1","1793"
"2008","Tony Pena","Diamondbacks","3","2","3","72","0","72.2","6.44","2.11","0.62",".318","66.7 %","47.9 %","6.6 %","4.33","3.42","3.91","1.1","4573"
"2013","Jonathan Papelbon","Phillies","5","1","29","61","0","61.2","8.32","1.61","0.88",".296","76.7 %","39.9 %","7.7 %","2.92","3.05","3.51","1.1","5975"
"2015","Pedro Strop","Cubs","2","6","3","76","0","68.0","10.72","3.84","0.66",".225","73.9 %","51.3 %","11.4 %","2.91","3.16","3.16","1.1","4070"
"2015","Shawn Tolleson","Rangers","6","4","35","73","0","72.1","9.46","2.12","1.12",".294","82.9 %","42.4 %","12.3 %","2.99","3.44","3.31","1.1","10481"
"2010","Darren O'Day","Rangers","6","2","0","72","0","62.0","6.53","1.74","0.73",".220","84.9 %","37.0 %","6.8 %","2.03","3.50","3.89","1.1","3321"
"2008","Manny Delcarmen","Red Sox","1","2","2","73","0","74.1","8.72","3.39","0.61",".251","73.4 %","51.8 %","7.1 %","3.27","3.32","3.69","1.1","3180"
"2012","Joel Peralta","Rays","2","6","2","77","0","67.0","11.28","2.28","1.21",".261","71.7 %","30.0 %","10.8 %","3.63","3.14","3.21","1.1","2332"
"2017","Hector Neris","Phillies","4","5","26","74","0","74.2","10.37","3.13","1.08",".306","84.7 %","32.7 %","10.3 %","3.01","3.71","4.21","1.1","11804"
"2003","Julian Tavarez","Pirates","3","3","11","64","0","83.2","4.20","2.90","0.11",".266","66.3 %","66.7 %","2.1 %","3.66","3.40","4.07","1.1","541"
"2004","J.C. Romero","Twins","7","4","1","74","0","74.1","8.35","4.60","0.48",".281","73.2 %","56.2 %","7.3 %","3.51","3.63","3.98","1.0","754"
"2006","Todd Coffey","Reds","6","7","8","81","0","78.0","6.92","3.12","0.81",".320","76.8 %","52.0 %","10.4 %","3.58","3.89","3.93","1.0","2467"
"2005","Chad Cordero","Nationals","2","4","47","74","0","74.1","7.39","2.06","1.09",".218","81.4 %","35.5 %","8.5 %","1.82","3.72","4.11","1.0","1816"
"2012","Aaron Crow","Royals","3","1","2","73","0","64.2","9.05","3.06","0.56",".298","70.0 %","52.9 %","8.3 %","3.48","2.96","3.24","1.0","10149"
"2002","Armando Benitez","Mets","1","0","33","62","0","67.1","10.56","3.34","1.07",".238","86.0 %","33.7 %","10.0 %","2.27","3.41","3.51","1.0","865"
"2013","LaTroy Hawkins","Mets","3","2","13","72","0","70.2","7.00","1.27","0.76",".301","74.7 %","48.4 %","10.0 %","2.93","3.06","3.12","1.0","729"
"2013","Cody Allen","Indians","6","1","2","77","0","70.1","11.26","3.33","0.90",".307","84.6 %","30.2 %","8.6 %","2.43","2.99","3.27","1.0","12183"
"2009","Brad Ziegler","Athletics","2","4","7","69","0","73.1","6.63","3.44","0.25",".351","77.6 %","62.3 %","4.4 %","3.07","3.17","3.62","1.0","7293"
"2006","Kevin Correia","Giants","2","0","0","48","0","69.2","7.36","2.84","0.65",".284","75.6 %","34.1 %","5.4 %","3.49","3.52","4.46","1.0","1767"
"2004","Jamie Walker","Tigers","3","4","1","70","0","64.2","7.38","1.67","1.11",".300","76.3 %","35.7 %","8.9 %","3.20","3.62","3.99","1.0","502"
"2011","Joe Smith","Indians","3","3","0","71","0","67.0","6.04","2.82","0.13",".258","80.2 %","56.6 %","2.2 %","2.01","2.91","3.57","1.0","3281"
"2014","Glen Perkins","Twins","4","3","34","63","0","61.2","9.63","1.61","1.02",".316","70.6 %","35.4 %","9.5 %","3.65","3.10","3.11","1.0","8041"
"2008","Jim Johnson","Orioles","2","4","1","54","0","68.2","4.98","3.67","0.00",".255","78.8 %","58.7 %","0.0 %","2.23","3.38","4.45","1.0","3656"
"2014","Joe Smith","Angels","7","2","15","76","0","74.2","8.20","1.81","0.48",".214","82.8 %","59.1 %","8.0 %","1.81","2.85","2.98","1.0","3281"
"2010","Nick Masset","Reds","4","4","2","82","0","76.2","9.98","3.87","0.82",".291","76.0 %","47.2 %","10.3 %","3.40","3.38","3.27","1.0","7267"
"2014","Pedro Strop","Cubs","2","4","2","65","0","61.0","10.48","3.69","0.30",".268","75.5 %","55.0 %","6.9 %","2.21","2.66","2.82","1.0","4070"
"2005","Roberto Hernandez","Mets","8","6","4","67","0","69.2","7.88","3.62","0.65",".267","83.8 %","39.2 %","6.8 %","2.58","3.49","4.03","1.0","605"
"2014","Zach Britton","Orioles","3","2","37","71","0","76.1","7.31","2.71","0.47",".215","82.3 %","75.3 %","17.4 %","1.65","3.13","2.82","1.0","3240"
"2016","Cody Allen","Indians","3","5","32","67","0","68.0","11.51","3.57","1.06",".232","79.2 %","45.6 %","15.1 %","2.51","3.31","3.08","1.0","12183"
"2008","Mike Adams","Padres","2","3","0","54","0","65.1","10.19","2.62","0.96",".264","85.9 %","42.3 %","10.8 %","2.48","3.13","3.05","1.0","1937"
"2004","Shingo Takatsu","White Sox","6","4","19","59","0","62.1","7.22","3.03","0.87",".205","84.3 %","37.1 %","8.1 %","2.31","3.80","4.24","1.0","1896"
"2007","Derrick Turnbow","Brewers","4","5","1","77","0","68.0","11.12","6.09","0.53",".256","64.8 %","46.5 %","6.3 %","4.63","3.65","4.05","1.0","1694"
"2013","Charlie Furbush","Mariners","2","6","0","71","0","65.0","11.08","4.02","0.69",".264","64.4 %","40.1 %","8.1 %","3.74","3.06","3.37","1.0","1370"
"2017","Matt Barnes","Red Sox","7","3","1","70","0","69.2","10.72","3.62","0.90",".298","72.2 %","48.9 %","14.3 %","3.88","3.33","3.27","1.0","12863"
"2013","Dane de la Rosa","Angels","6","1","2","75","0","72.1","8.09","3.48","0.37",".273","74.3 %","51.3 %","5.5 %","2.86","2.99","3.49","1.0","10095"
"2011","Fernando Salas","Cardinals","5","6","24","68","0","75.0","9.00","2.52","0.84",".226","83.9 %","34.2 %","7.0 %","2.28","3.16","3.62","1.0","4971"
